nupdates,value_loss,policy_entropy,fps,total_timesteps,explained_variance
27700,0.009077200666069984,2.556293249130249,657,554000,0.9906570510938764
27800,0.004353138618171215,2.881098747253418,657,556000,0.7337531745433807
27900,0.003828448010608554,2.8758926391601562,657,558000,0.9304788932204247
28000,0.0037218034267425537,2.6668591499328613,657,560000,0.9985653008334339
28100,0.01019244734197855,2.524778127670288,657,562000,0.9889314919710159
28200,0.0053094010800123215,2.5951151847839355,657,564000,0.9956375728361309
28300,0.0014081402914598584,2.879948377609253,657,566000,0.989984936080873
28400,0.0024257272016257048,2.8338119983673096,657,568000,0.9766183383762836
28500,0.012957337312400341,2.415081739425659,657,570000,0.9936900669708848
28600,0.018394216895103455,2.4598326683044434,657,572000,0.992103124037385
28700,0.008381033316254616,2.6088390350341797,657,574000,0.9925923966802657
28800,0.014380778186023235,2.3844244480133057,657,576000,0.9908577352762222
28900,0.0033625331707298756,2.502321243286133,657,578000,0.9982260032556951
29000,0.007963497191667557,2.4325504302978516,657,580000,0.9949650806374848
29100,0.003741275519132614,2.8795857429504395,657,582000,0.9814704731106758
29200,0.00645339023321867,2.6979286670684814,657,584000,0.9977646351326257
29300,0.0031267728190869093,2.7883338928222656,657,586000,0.9982154202880338
29400,0.0035212687216699123,2.7934517860412598,657,588000,0.9981300014769658
29500,0.0018111809622496367,2.8714470863342285,658,590000,0.99818806105759
29600,0.009270908311009407,2.7335095405578613,658,592000,0.9896062528714538
29700,0.1120435819029808,2.7445361614227295,658,594000,0.9112221524119377
29800,0.0036195418797433376,2.757117509841919,658,596000,0.9980159383267164
29900,0.006801154464483261,2.4772634506225586,658,598000,0.993716053199023
30000,0.007153359241783619,2.80143404006958,658,600000,0.9939609193243086
30100,0.0053711202926933765,2.6269733905792236,658,602000,0.9968519923277199
30200,0.008227158337831497,2.824923276901245,658,604000,0.9504422396421432
30300,0.09669863432645798,2.289553165435791,658,606000,0.9434253051877022
30400,0.008037606254220009,2.4016165733337402,658,608000,0.9967224574647844
30500,0.009482859633862972,2.732872247695923,658,610000,0.9934999700635672
30600,0.0005980905843898654,2.769564390182495,657,612000,0.9997585445817094
30700,0.0031597032211720943,2.6068179607391357,657,614000,0.9989361752523109
30800,0.005900010000914335,2.464613676071167,657,616000,0.9967986540868878
30900,0.03445139527320862,2.853916645050049,657,618000,-0.5904074907302856
31000,0.005301658995449543,2.7880966663360596,657,620000,0.9685030169785023
31100,0.00979990791529417,2.6494898796081543,657,622000,0.9880090970546007
31200,0.0023361551575362682,2.6986656188964844,657,624000,0.9988487877417356
31300,0.020521074533462524,2.755924940109253,657,626000,0.9796425029635429
31400,0.011199298314750195,2.5506985187530518,657,628000,0.9888754114508629
31500,0.8569186925888062,2.6351637840270996,657,630000,0.590229868888855
31600,0.07953697443008423,2.4776952266693115,657,632000,0.9693799000233412
31700,0.040030740201473236,2.365379810333252,657,634000,0.5422858595848083
31800,0.01561071164906025,2.6692748069763184,657,636000,0.9901784611865878
31900,0.01876450702548027,2.6781413555145264,657,638000,0.9914230471476912
32000,0.00136297766584903,2.8797078132629395,658,640000,0.9923761561512947
32100,0.005973688792437315,2.7203502655029297,658,642000,0.9857273008674383
32200,0.0011264488566666842,2.757446527481079,658,644000,0.9994932228582911
32300,0.005349478218704462,2.7179558277130127,658,646000,0.9892157707363367
32400,0.012944621033966541,2.6913082599639893,658,648000,0.9859616095200181
32500,0.378401517868042,2.7737205028533936,658,650000,-1.1523897647857666
32600,0.0034972447901964188,2.1352319717407227,658,652000,0.9979532074648887
32700,0.05874527618288994,2.6395325660705566,658,654000,0.857273057103157
32800,0.004890662617981434,2.864881753921509,658,656000,0.9321290403604507
32900,0.002052354859188199,2.5659162998199463,658,658000,0.9994939229218289
33000,0.01722888834774494,2.6331098079681396,658,660000,0.9836657550185919
33100,0.010273691266775131,2.568291425704956,658,662000,0.9938900829292834
33200,0.0072328210808336735,2.7176666259765625,658,664000,0.9872409645467997
33300,0.01693178340792656,2.7251648902893066,658,666000,0.9859263701364398
33400,0.0016949449200183153,2.5587844848632812,658,668000,0.9982072489801794
33500,0.007742868270725012,2.683750867843628,658,670000,0.996142856311053
33600,0.0023468476720154285,2.848384141921997,658,672000,0.9762612041085958
33700,0.0031779767014086246,2.7110378742218018,658,674000,0.9979447084479034
33800,0.009716394357383251,2.6485700607299805,658,676000,0.993874832522124
33900,0.00762088131159544,2.5446059703826904,658,678000,0.986929090693593
34000,0.00469642598181963,2.71176815032959,658,680000,0.9983483226969838
34100,0.0023631765507161617,2.6922078132629395,658,682000,0.9985712863272056
34200,0.0009717276552692056,2.637547016143799,658,684000,0.9991274030180648
34300,0.0041691698133945465,2.625821590423584,658,686000,0.9975450339261442
34400,0.012111064977943897,2.2089481353759766,658,688000,0.9948040512390435
34500,0.004923095926642418,2.409600257873535,658,690000,0.9967396804131567
34600,0.005286426283419132,2.4232025146484375,658,692000,0.9983613211661577
34700,0.003712226403877139,2.466992139816284,658,694000,0.9967924389056861
34800,0.0058327317237854,2.7273924350738525,658,696000,0.9947261922061443
34900,0.0224391408264637,2.4905247688293457,658,698000,0.9828143902122974
35000,0.009954369626939297,2.4269282817840576,658,700000,0.9932940215803683
35100,0.006419152952730656,2.7870452404022217,658,702000,0.9938571783713996
35200,0.014959174208343029,2.3903722763061523,658,704000,0.9930012011900544
35300,0.020802348852157593,2.4020323753356934,658,706000,0.9828187990933657
35400,0.017547082155942917,2.8415017127990723,658,708000,0.9762838631868362
35500,0.003973969258368015,2.715857982635498,658,710000,0.9986787179950625
35600,0.005723633803427219,2.4165585041046143,658,712000,0.9935007854364812
35700,0.010730726644396782,2.8041718006134033,658,714000,0.9877817314118147
35800,0.01031982060521841,2.571650743484497,658,716000,0.9919435270130634
