total_timesteps,explained_variance,policy_entropy,value_loss,nupdates,fps
122800,0.8576880395412445,1.7777915000915527,6.70952649670653e-05,30700,447
123200,0.9957007775083184,1.787010669708252,7.570019079139456e-05,30800,446
123600,0.6822474002838135,1.7871252298355103,7.754439138807356e-05,30900,446
124000,0.9902102258056402,1.7856415510177612,6.659810605924577e-05,31000,446
124400,0.9989640046842396,1.7816839218139648,5.768808478023857e-05,31100,446
124800,0.9786109067499638,1.7807263135910034,5.414131737779826e-05,31200,446
125200,0.9902068516239524,1.7864384651184082,5.338871415005997e-05,31300,446
125600,0.14649158716201782,1.784621238708496,6.405658496078104e-05,31400,446
126000,0.9653512500226498,1.7806615829467773,5.752396464231424e-05,31500,446
126400,0.7518314719200134,1.7770639657974243,5.53006975678727e-05,31600,446
126800,0.8956083357334137,1.7776732444763184,5.8768142480403185e-05,31700,446
127200,0.8510700762271881,1.7858487367630005,5.862806210643612e-05,31800,446
127600,0.995605225674808,1.7767565250396729,5.202109241508879e-05,31900,446
128000,0.9931949726305902,1.7806286811828613,3.939662565244362e-05,32000,446
128400,0.9837440885603428,1.777759313583374,4.7514549805782735e-05,32100,446
128800,7.534027099609375e-05,1.7816264629364014,0.1228422001004219,32200,446
129200,0.9859870532527566,1.7602384090423584,4.518631612882018e-05,32300,446
129600,0.0001812577247619629,1.7585160732269287,0.12264600396156311,32400,446
130000,0.9997218884527683,1.7514326572418213,4.455938687897287e-05,32500,446
130400,0.00015813112258911133,1.7432588338851929,0.12255940586328506,32600,446
130800,0.6315407454967499,1.765810489654541,5.396033520810306e-05,32700,446
131200,0.7833022922277451,1.770106315612793,5.1939849072368816e-05,32800,446
131600,-0.0008622407913208008,1.7670140266418457,0.12302975356578827,32900,446
132000,0.9947442249394953,1.776236891746521,3.451560405665077e-05,33000,446
132400,0.980167904868722,1.778838872909546,3.473043761914596e-05,33100,446
132800,0.9887098744511604,1.7641046047210693,4.8760484787635505e-05,33200,446
133200,0.9179080724716187,1.7616002559661865,4.924416862195358e-05,33300,446
133600,0.9177925661206245,1.7558847665786743,5.5835767852840945e-05,33400,446
